source_mat_id,investigation_type,env_material,collection_date,sampling_event,sampl_person,sampl_person_orcid,tidal_stage,depth,size_frac_low,size_frac_up,samp_collect_device,samp_mat_process,samp_mat_process_dev,samp_store_dur,samp_deposit_date,samp_store_loc,samp_store_temp,store_person,store_person_orcid,other_person,other_person_orcid,samp_size,ship_date
EMOBON-210701-330-SoSOP3-Meio-R1,,sediment [ENVO:00002007],2021-07-01 08:23:15,EMOBON_BE_20210701_330,Lara Macheriotou,0000-0002-5662-5689,ebb_tide,23.09,0.32,,Van Veen Grab,SoSOP3,,,,"UGent MarBiol Freezer #11, Box#65",-20,Lara Macheriotou,0000-0002-5662-5689,Annelien Rigaux,,340,1/12/2021
EMOBON-210701-330-SoSOP3-Meio-R2,,sediment [ENVO:00002007],2021-07-01 08:23:15,EMOBON_BE_20210701_330,Lara Macheriotou,0000-0002-5662-5689,ebb_tide,23.09,0.32,,Van Veen Grab,SoSOP3,,,,"UGent MarBiol Freezer #11, Box#65",-20,Lara Macheriotou,0000-0002-5662-5689,Annelien Rigaux,,470,1/12/2021
EMOBON-210701-330-SoSOP3-Meio-R3,,sediment [ENVO:00002007],2021-07-01 08:23:15,EMOBON_BE_20210701_330,Lara Macheriotou,0000-0002-5662-5689,ebb_tide,23.09,0.32,,Van Veen Grab,SoSOP3,,,2021-07-01 18:00:00,"UGent MarBiol Freezer #11, Box#65",-20,Lara Macheriotou,0000-0002-5662-5689,Annelien Rigaux,,405,
EMOBON-210701-330-SoSOP3-Meio-R4,,sediment [ENVO:00002007],2021-07-01 08:23:15,EMOBON_BE_20210701_330,Lara Macheriotou,0000-0002-5662-5689,ebb_tide,23.09,0.32,,Van Veen Grab,SoSOP3,,,2021-07-01 18:00:00,"UGent MarBiol Freezer #11, Box#65",-20,Lara Macheriotou,0000-0002-5662-5689,Annelien Rigaux,,300,
EMOBON-210726-330-SoSOP3-Micro-R1,,sediment [ENVO:00002007],2021-07-26 12:44:15,EMOBON_BE_20210726_330,Jonas Mortelmans,0000-0002-8781-7915,flood_tide,22.94,,,Van Veen Grab,SoSOP3,,71,,MSO LifeWatch Lab -80 Freezer,-80,Jonas Mortelmans,0000-0002-8781-7915,,,,5/10/2021
EMOBON-210726-330-SoSOP3-Micro-R2,,sediment [ENVO:00002007],2021-07-26 12:44:15,EMOBON_BE_20210726_330,Jonas Mortelmans,0000-0002-8781-7915,flood_tide,22.94,,,Van Veen Grab,SoSOP3,,71,,MSO LifeWatch Lab -80 Freezer,-80,Jonas Mortelmans,0000-0002-8781-7915,,,,5/10/2021
EMOBON-210726-330-SoSOP3-Micro-R3,,sediment [ENVO:00002007],2021-07-26 12:44:15,EMOBON_BE_20210726_330,Jonas Mortelmans,0000-0002-8781-7915,flood_tide,22.94,,,Van Veen Grab,SoSOP3,,,2021-07-26 16:00:00,MSO LifeWatch Lab -80 Freezer,-80,Jonas Mortelmans,0000-0002-8781-7915,,,,
EMOBON-210726-330-SoSOP3-Micro-R4,,sediment [ENVO:00002007],2021-07-26 12:44:15,EMOBON_BE_20210726_330,Jonas Mortelmans,0000-0002-8781-7915,flood_tide,22.94,,,Van Veen Grab,SoSOP3,,,2021-07-26 16:00:00,MSO LifeWatch Lab -80 Freezer,-80,Jonas Mortelmans,0000-0002-8781-7915,,,,
EMOBON-210726-330-SoSOP3-Micro-B1,,sediment [ENVO:00002007],2021-07-26 12:44:15,EMOBON_BE_20210726_330,Jonas Mortelmans,0000-0002-8781-7915,flood_tide,22.94,,,Van Veen Grab,SoSOP3,,,,MSO LifeWatch Lab -80 Freezer,-80,Jonas Mortelmans,0000-0002-8781-7915,,,,
EMOBON-210726-330-SoSOP3-Micro-B2,,sediment [ENVO:00002007],2021-07-26 12:44:15,EMOBON_BE_20210726_330,Jonas Mortelmans,0000-0002-8781-7915,flood_tide,22.94,,,Van Veen Grab,SoSOP3,,,,MSO LifeWatch Lab -80 Freezer,-80,Jonas Mortelmans,0000-0002-8781-7915,,,,
